source,g,age,ex,chart_floor_pts,max_pts,floor_pct,comp_min_pct,engine_clamp_passes_min
current,M,<25,run,29.5,50.0,59.0,60.0,False
current,M,<25,hamr,29.5,50.0,59.0,60.0,False
current,M,<25,pushups,0.8,15.0,5.333333333333334,60.0,False
current,M,<25,hrpu,7.5,15.0,50.0,60.0,False
current,M,<25,situps,2.3,15.0,15.333333333333332,60.0,False
current,M,<25,clrc,7.5,15.0,50.0,60.0,False
current,M,<25,plank,7.5,15.0,50.0,60.0,False
current,M,25-29,run,29.5,50.0,59.0,60.0,False
current,M,25-29,hamr,29.5,50.0,59.0,60.0,False
current,M,25-29,pushups,0.8,15.0,5.333333333333334,60.0,False
current,M,25-29,hrpu,7.5,15.0,50.0,60.0,False
current,M,25-29,situps,2.3,15.0,15.333333333333332,60.0,False
current,M,25-29,clrc,5.0,15.0,33.33333333333333,60.0,False
current,M,25-29,plank,7.5,15.0,50.0,60.0,False
current,M,30-34,run,29.5,50.0,59.0,60.0,False
current,M,30-34,hamr,29.5,50.0,59.0,60.0,False
current,M,30-34,pushups,0.8,15.0,5.333333333333334,60.0,False
current,M,30-34,hrpu,7.5,15.0,50.0,60.0,False
current,M,30-34,situps,2.3,15.0,15.333333333333332,60.0,False
current,M,30-34,clrc,7.5,15.0,50.0,60.0,False
current,M,30-34,plank,7.5,15.0,50.0,60.0,False
current,M,35-39,run,29.5,50.0,59.0,60.0,False
current,M,35-39,hamr,29.5,50.0,59.0,60.0,False
current,M,35-39,pushups,0.8,15.0,5.333333333333334,60.0,False
current,M,35-39,hrpu,7.5,15.0,50.0,60.0,False
current,M,35-39,situps,2.3,15.0,15.333333333333332,60.0,False
current,M,35-39,clrc,7.5,15.0,50.0,60.0,False
current,M,35-39,plank,7.5,15.0,50.0,60.0,False
current,M,40-44,run,29.5,50.0,59.0,60.0,False
current,M,40-44,hamr,29.5,50.0,59.0,60.0,False
current,M,40-44,pushups,0.8,15.0,5.333333333333334,60.0,False
current,M,40-44,hrpu,7.5,15.0,50.0,60.0,False
current,M,40-44,situps,2.3,15.0,15.333333333333332,60.0,False
current,M,40-44,clrc,7.5,15.0,50.0,60.0,False
current,M,40-44,plank,7.5,15.0,50.0,60.0,False
current,M,45-49,run,29.5,50.0,59.0,60.0,False
current,M,45-49,hamr,29.5,50.0,59.0,60.0,False
current,M,45-49,pushups,0.8,15.0,5.333333333333334,60.0,False
current,M,45-49,hrpu,7.5,15.0,50.0,60.0,False
current,M,45-49,situps,2.3,15.0,15.333333333333332,60.0,False
current,M,45-49,clrc,7.5,15.0,50.0,60.0,False
current,M,45-49,plank,7.5,15.0,50.0,60.0,False
current,M,50-54,run,29.5,50.0,59.0,60.0,False
current,M,50-54,hamr,29.5,50.0,59.0,60.0,False
current,M,50-54,pushups,0.8,15.0,5.333333333333334,60.0,False
current,M,50-54,hrpu,7.5,15.0,50.0,60.0,False
current,M,50-54,situps,2.3,15.0,15.333333333333332,60.0,False
current,M,50-54,clrc,7.5,15.0,50.0,60.0,False
current,M,50-54,plank,7.5,15.0,50.0,60.0,False
current,M,55-59,run,29.5,50.0,59.0,60.0,False
current,M,55-59,hamr,29.5,50.0,59.0,60.0,False
current,M,55-59,pushups,0.8,15.0,5.333333333333334,60.0,False
current,M,55-59,hrpu,7.5,15.0,50.0,60.0,False
current,M,55-59,situps,2.3,15.0,15.333333333333332,60.0,False
current,M,55-59,clrc,7.5,15.0,50.0,60.0,False
current,M,55-59,plank,7.5,15.0,50.0,60.0,False
current,M,60+,run,29.5,50.0,59.0,60.0,False
current,M,60+,hamr,29.5,50.0,59.0,60.0,False
current,M,60+,pushups,0.8,15.0,5.333333333333334,60.0,False
current,M,60+,hrpu,7.5,15.0,50.0,60.0,False
current,M,60+,situps,2.3,15.0,15.333333333333332,60.0,False
current,M,60+,clrc,7.5,15.0,50.0,60.0,False
current,M,60+,plank,7.5,15.0,50.0,60.0,False
current,F,<25,run,29.5,50.0,59.0,60.0,False
current,F,<25,hamr,29.5,50.0,59.0,60.0,False
current,F,<25,pushups,0.8,15.0,5.333333333333334,60.0,False
current,F,<25,hrpu,7.5,15.0,50.0,60.0,False
current,F,<25,situps,2.3,15.0,15.333333333333332,60.0,False
current,F,<25,clrc,7.5,15.0,50.0,60.0,False
current,F,<25,plank,7.5,15.0,50.0,60.0,False
current,F,25-29,run,29.5,50.0,59.0,60.0,False
current,F,25-29,hamr,29.5,50.0,59.0,60.0,False
current,F,25-29,pushups,0.8,15.0,5.333333333333334,60.0,False
current,F,25-29,hrpu,7.5,15.0,50.0,60.0,False
current,F,25-29,situps,2.3,15.0,15.333333333333332,60.0,False
current,F,25-29,clrc,7.5,15.0,50.0,60.0,False
current,F,25-29,plank,7.5,15.0,50.0,60.0,False
current,F,30-34,run,29.5,50.0,59.0,60.0,False
current,F,30-34,hamr,29.5,50.0,59.0,60.0,False
current,F,30-34,pushups,0.8,15.0,5.333333333333334,60.0,False
current,F,30-34,hrpu,7.5,15.0,50.0,60.0,False
current,F,30-34,situps,2.3,15.0,15.333333333333332,60.0,False
current,F,30-34,clrc,7.5,15.0,50.0,60.0,False
current,F,30-34,plank,7.5,15.0,50.0,60.0,False
current,F,35-39,run,29.5,50.0,59.0,60.0,False
current,F,35-39,hamr,29.5,50.0,59.0,60.0,False
current,F,35-39,pushups,0.8,15.0,5.333333333333334,60.0,False
