gender,age,ex,threshold,pfra_points,cur_points,delta,off_chart
M,<25,run,805,50.0,50.0,0.0,False
M,<25,run,824,49.5,49.4,0.10000000000000142,False
M,<25,run,843,49.0,48.8,0.20000000000000284,False
M,<25,run,862,48.0,48.1,-0.10000000000000142,False
M,<25,run,881,47.0,47.5,-0.5,False
M,<25,run,900,46.0,46.9,-0.8999999999999986,False
M,<25,run,919,45.0,45.6,-0.6000000000000014,False
M,<25,run,938,44.0,45.0,-1.0,False
M,<25,run,957,43.0,43.9,-0.8999999999999986,False
M,<25,run,976,42.0,42.9,-0.8999999999999986,False
M,<25,run,995,41.0,41.8,-0.7999999999999972,False
M,<25,run,1014,40.0,40.7,-0.7000000000000028,False
M,<25,run,1033,39.0,39.6,-0.6000000000000014,False
M,<25,run,1052,38.5,38.6,-0.10000000000000142,False
M,<25,run,1071,38.0,37.5,0.5,False
M,<25,run,1090,37.5,35.5,2.0,False
M,<25,run,1109,37.0,34.0,3.0,False
M,<25,run,1128,36.5,32.5,4.0,False
M,<25,run,1147,36.0,32.5,3.5,False
M,<25,run,1176,35.5,31.0,4.5,False
M,<25,run,1185,35.0,29.5,5.5,True
M,<25,hamr,87,50.0,47.5,2.5,False
M,<25,hamr,84,49.5,46.9,2.6000000000000014,False
M,<25,hamr,81,49.0,46.3,2.700000000000003,False
M,<25,hamr,78,48.0,45.6,2.3999999999999986,False
M,<25,hamr,75,47.0,45.0,2.0,False
M,<25,hamr,72,46.0,43.9,2.1000000000000014,False
M,<25,hamr,70,45.0,42.9,2.1000000000000014,False
M,<25,hamr,67,44.0,41.8,2.200000000000003,False
M,<25,hamr,65,43.0,41.8,1.2000000000000028,False
M,<25,hamr,63,42.0,40.7,1.2999999999999972,False
M,<25,hamr,60,41.0,39.6,1.3999999999999986,False
M,<25,hamr,58,40.0,38.6,1.3999999999999986,False
M,<25,hamr,56,39.0,38.6,0.3999999999999986,False
M,<25,hamr,54,38.5,37.5,1.0,False
M,<25,hamr,52,38.0,35.5,2.5,False
M,<25,hamr,51,37.5,35.5,2.0,False
M,<25,hamr,49,37.0,34.0,3.0,False
M,<25,hamr,47,36.5,32.5,4.0,False
M,<25,hamr,46,36.0,32.5,3.5,False
M,<25,hamr,44,35.5,31.0,4.5,False
M,<25,hamr,42,35.0,31.0,4.0,True
M,<25,pushups,67,15.0,15.0,0.0,False
M,<25,pushups,66,14.5,14.9,-0.40000000000000036,False
M,<25,pushups,64,14.0,14.6,-0.5999999999999996,False
M,<25,pushups,63,13.5,14.4,-0.9000000000000004,False
M,<25,pushups,61,13.0,14.1,-1.0999999999999996,False
M,<25,pushups,60,12.5,14.0,-1.5,False
M,<25,pushups,58,12.0,13.7,-1.6999999999999993,False
M,<25,pushups,57,11.5,13.5,-2.0,False
M,<25,pushups,55,11.0,13.2,-2.1999999999999993,False
M,<25,pushups,54,10.5,13.1,-2.5999999999999996,False
M,<25,pushups,52,10.0,12.8,-2.8000000000000007,False
M,<25,pushups,51,9.5,12.6,-3.0999999999999996,False
M,<25,pushups,49,9.0,12.3,-3.3000000000000007,False
M,<25,pushups,48,8.5,12.2,-3.6999999999999993,False
M,<25,pushups,46,8.0,11.7,-3.6999999999999993,False
M,<25,pushups,45,7.5,11.6,-4.1,False
M,<25,pushups,43,7.0,11.0,-4.0,False
M,<25,pushups,42,6.5,10.8,-4.300000000000001,False
M,<25,pushups,40,6.0,10.2,-4.199999999999999,False
M,<25,pushups,39,5.5,9.8,-4.300000000000001,False
M,<25,pushups,37,5.0,9.0,-4.0,False
M,<25,pushups,36,4.5,8.7,-4.199999999999999,False
M,<25,pushups,34,4.0,8.0,-4.0,False
M,<25,pushups,33,3.5,7.5,-4.0,False
M,<25,pushups,31,3.0,3.0,0.0,False
M,<25,pushups,30,2.5,0.8,1.7,True
M,<25,hrpu,52,15.0,15.0,0.0,False
M,<25,hrpu,51,14.5,15.0,-0.5,False
M,<25,hrpu,50,14.0,15.0,-1.0,False
M,<25,hrpu,49,13.5,15.0,-1.5,False
M,<25,hrpu,48,13.0,15.0,-2.0,False
M,<25,hrpu,47,12.5,15.0,-2.5,False
M,<25,hrpu,46,12.0,15.0,-3.0,False
M,<25,hrpu,45,11.5,15.0,-3.5,False
M,<25,hrpu,44,11.0,15.0,-4.0,False
M,<25,hrpu,43,10.5,15.0,-4.5,False
M,<25,hrpu,42,10.0,15.0,-5.0,False
M,<25,hrpu,41,9.5,15.0,-5.5,False
M,<25,hrpu,40,9.0,15.0,-6.0,False
M,<25,hrpu,39,8.5,14.7,-6.199999999999999,False
M,<25,hrpu,38,8.0,14.4,-6.4,False
M,<25,hrpu,37,7.5,14.1,-6.6,False
M,<25,hrpu,36,7.0,13.8,-6.800000000000001,False
M,<25,hrpu,35,6.5,13.5,-7.0,False
M,<25,hrpu,34,6.0,13.2,-7.199999999999999,False
M,<25,hrpu,33,5.5,12.9,-7.4,False
M,<25,hrpu,32,5.0,12.6,-7.6,False
M,<25,hrpu,31,4.5,12.3,-7.800000000000001,False
M,<25,hrpu,30,4.0,12.0,-8.0,False
M,<25,hrpu,29,3.5,11.7,-8.2,False
M,<25,hrpu,28,3.0,11.4,-8.4,False
M,<25,hrpu,27,2.5,11.1,-8.6,True
M,<25,situps,58,15.0,15.0,0.0,False
M,<25,situps,57,14.5,14.8,-0.3000000000000007,False
M,<25,situps,56,14.0,14.6,-0.5999999999999996,False
M,<25,situps,55,13.5,14.3,-0.8000000000000007,False
M,<25,situps,54,13.0,14.1,-1.0999999999999996,False
M,<25,situps,53,12.5,13.8,-1.3000000000000007,False
M,<25,situps,52,12.0,13.5,-1.5,False
M,<25,situps,51,11.5,13.2,-1.6999999999999993,False
M,<25,situps,50,11.0,13.1,-2.0999999999999996,False
M,<25,situps,49,10.5,12.8,-2.3000000000000007,False
M,<25,situps,48,10.0,12.5,-2.5,False
M,<25,situps,47,9.5,12.0,-2.5,False
M,<25,situps,46,9.0,11.3,-2.3000000000000007,False
M,<25,situps,45,8.5,10.5,-2.0,False
M,<25,situps,44,8.0,9.8,-1.8000000000000007,False
M,<25,situps,43,7.5,9.5,-2.0,False
M,<25,situps,42,7.0,9.0,-2.0,False
M,<25,situps,41,6.5,6.8,-0.2999999999999998,False
M,<25,situps,40,6.0,4.5,1.5,False
M,<25,situps,39,5.5,2.3,3.2,False
M,<25,situps,38,5.0,2.3,2.7,False
M,<25,situps,37,4.5,2.3,2.2,False
M,<25,situps,36,4.0,2.3,1.7000000000000002,False
M,<25,situps,35,3.5,2.3,1.2000000000000002,False
M,<25,situps,34,3.0,2.3,0.7000000000000002,False
M,<25,situps,33,2.5,2.3,0.20000000000000018,True
M,<25,clrc,60,15.0,15.0,0.0,False
M,<25,clrc,59,14.5,15.0,-0.5,False
M,<25,clrc,58,14.0,15.0,-1.0,False
M,<25,clrc,57,13.5,15.0,-1.5,False
M,<25,clrc,56,13.0,15.0,-2.0,False
M,<25,clrc,55,12.5,15.0,-2.5,False
M,<25,clrc,54,12.0,15.0,-3.0,False
M,<25,clrc,53,11.5,15.0,-3.5,False
M,<25,clrc,52,11.0,15.0,-4.0,False
M,<25,clrc,51,10.5,15.0,-4.5,False
M,<25,clrc,50,10.0,15.0,-5.0,False
M,<25,clrc,49,9.5,15.0,-5.5,False
M,<25,clrc,48,9.0,14.7,-5.699999999999999,False
M,<25,clrc,47,8.5,14.5,-6.0,False
M,<25,clrc,46,8.0,14.2,-6.199999999999999,False
M,<25,clrc,45,7.5,14.0,-6.5,False
M,<25,clrc,44,7.0,13.7,-6.699999999999999,False
M,<25,clrc,43,6.5,13.5,-7.0,False
M,<25,clrc,42,6.0,13.2,-7.199999999999999,False
M,<25,clrc,41,5.5,12.9,-7.4,False
M,<25,clrc,40,5.0,12.6,-7.6,False
M,<25,clrc,39,4.5,12.3,-7.800000000000001,False
M,<25,clrc,38,4.0,12.1,-8.1,False
M,<25,clrc,37,3.5,11.8,-8.3,False
M,<25,clrc,36,3.0,11.6,-8.6,False
M,<25,clrc,35,2.5,11.3,-8.8,True
M,<25,plank,220,15.0,15.0,0.0,False
M,<25,plank,215,14.5,15.0,-0.5,False
M,<25,plank,210,14.0,14.8,-0.8000000000000007,False
M,<25,plank,205,13.5,14.5,-1.0,False
M,<25,plank,200,13.0,14.2,-1.1999999999999993,False
M,<25,plank,195,12.5,13.9,-1.4000000000000004,False
M,<25,plank,190,12.0,13.5,-1.5,False
M,<25,plank,185,11.5,13.5,-2.0,False
M,<25,plank,180,11.0,12.6,-1.5999999999999996,False
M,<25,plank,175,10.5,12.6,-2.0999999999999996,False
M,<25,plank,170,10.0,12.6,-2.5999999999999996,False
M,<25,plank,165,9.5,12.6,-3.0999999999999996,False
M,<25,plank,160,9.0,11.5,-2.5,False
M,<25,plank,155,8.5,11.5,-3.0,False
M,<25,plank,150,8.0,11.5,-3.5,False
M,<25,plank,145,7.5,11.5,-4.0,False
M,<25,plank,140,7.0,10.5,-3.5,False
M,<25,plank,135,6.5,10.5,-4.0,False
M,<25,plank,130,6.0,10.5,-4.5,False
M,<25,plank,125,5.5,10.5,-5.0,False
M,<25,plank,120,5.0,10.0,-5.0,False
M,<25,plank,115,4.5,10.0,-5.5,False
M,<25,plank,110,4.0,8.5,-4.5,False
M,<25,plank,105,3.5,8.5,-5.0,False
M,<25,plank,100,3.0,8.5,-5.5,False
M,<25,plank,95,2.5,8.5,-6.0,True
M,25-29,run,815,50.0,49.4,0.6000000000000014,False
M,25-29,run,834,49.5,49.4,0.10000000000000142,False
M,25-29,run,853,49.0,48.1,0.8999999999999986,False
M,25-29,run,872,48.0,47.5,0.5,False
M,25-29,run,891,47.0,46.9,0.10000000000000142,False
M,25-29,run,910,46.0,46.3,-0.29999999999999716,False
M,25-29,run,929,45.0,45.0,0.0,False
M,25-29,run,948,44.0,43.9,0.10000000000000142,False
M,25-29,run,967,43.0,43.9,-0.8999999999999986,False
M,25-29,run,986,42.0,42.9,-0.8999999999999986,False
M,25-29,run,1005,41.0,41.8,-0.7999999999999972,False
M,25-29,run,1024,40.0,40.7,-0.7000000000000028,False
M,25-29,run,1043,39.0,39.6,-0.6000000000000014,False
M,25-29,run,1062,38.5,38.6,-0.10000000000000142,False
M,25-29,run,1081,38.0,37.5,0.5,False
M,25-29,run,1100,37.5,35.5,2.0,False
M,25-29,run,1119,37.0,34.0,3.0,False
M,25-29,run,1138,36.5,32.5,4.0,False
M,25-29,run,1157,36.0,31.0,5.0,False
M,25-29,run,1176,35.5,29.5,6.0,False
M,25-29,run,1195,35.0,29.5,5.5,True
M,25-29,hamr,85,50.0,47.5,2.5,False
M,25-29,hamr,82,49.5,46.9,2.6000000000000014,False
M,25-29,hamr,79,49.0,46.3,2.700000000000003,False
M,25-29,hamr,76,48.0,45.6,2.3999999999999986,False
M,25-29,hamr,74,47.0,45.6,1.3999999999999986,False
M,25-29,hamr,71,46.0,45.0,1.0,False
M,25-29,hamr,69,45.0,43.9,1.1000000000000014,False
M,25-29,hamr,66,44.0,42.9,1.1000000000000014,False
M,25-29,hamr,64,43.0,41.8,1.2000000000000028,False
M,25-29,hamr,62,42.0,41.8,0.20000000000000284,False
M,25-29,hamr,59,41.0,40.7,0.29999999999999716,False
M,25-29,hamr,57,40.0,39.6,0.3999999999999986,False
M,25-29,hamr,55,39.0,38.6,0.3999999999999986,False
M,25-29,hamr,53,38.5,37.5,1.0,False
M,25-29,hamr,52,38.0,37.5,0.5,False
M,25-29,hamr,50,37.5,35.5,2.0,False
M,25-29,hamr,48,37.0,35.5,1.5,False
M,25-29,hamr,46,36.5,34.0,2.5,False
M,25-29,hamr,45,36.0,34.0,2.0,False
M,25-29,hamr,43,35.5,32.5,3.0,False
M,25-29,hamr,42,35.0,32.5,2.5,True
M,25-29,pushups,63,15.0,15.0,0.0,False
M,25-29,pushups,62,14.5,15.0,-0.5,False
M,25-29,pushups,60,14.0,14.6,-0.5999999999999996,False
M,25-29,pushups,59,13.5,14.3,-0.8000000000000007,False
M,25-29,pushups,57,13.0,14.0,-1.0,False
M,25-29,pushups,56,12.5,13.8,-1.3000000000000007,False
M,25-29,pushups,55,12.0,13.7,-1.6999999999999993,False
M,25-29,pushups,53,11.5,13.4,-1.9000000000000004,False
M,25-29,pushups,52,11.0,13.2,-2.1999999999999993,False
M,25-29,pushups,50,10.5,13.0,-2.5,False
M,25-29,pushups,49,10.0,12.9,-2.9000000000000004,False
M,25-29,pushups,48,9.5,12.8,-3.3000000000000007,False
M,25-29,pushups,46,9.0,12.5,-3.5,False
M,25-29,pushups,45,8.5,12.2,-3.6999999999999993,False
M,25-29,pushups,43,8.0,11.7,-3.6999999999999993,False
M,25-29,pushups,42,7.5,11.6,-4.1,False
M,25-29,pushups,41,7.0,11.3,-4.300000000000001,False
M,25-29,pushups,39,6.5,10.8,-4.300000000000001,False
M,25-29,pushups,38,6.0,10.5,-4.5,False
M,25-29,pushups,36,5.5,9.8,-4.300000000000001,False
M,25-29,pushups,35,5.0,9.5,-4.5,False
M,25-29,pushups,34,4.5,9.0,-4.5,False
M,25-29,pushups,32,4.0,8.3,-4.300000000000001,False
M,25-29,pushups,31,3.5,8.0,-4.5,False
M,25-29,pushups,29,3.0,5.3,-2.3,False
M,25-29,pushups,28,2.5,3.0,-0.5,True
M,25-29,hrpu,50,15.0,15.0,0.0,False
M,25-29,hrpu,49,14.5,15.0,-0.5,False
M,25-29,hrpu,48,14.0,15.0,-1.0,False
M,25-29,hrpu,47,13.5,15.0,-1.5,False
M,25-29,hrpu,46,13.0,15.0,-2.0,False
M,25-29,hrpu,45,12.5,15.0,-2.5,False
M,25-29,hrpu,44,12.0,15.0,-3.0,False
M,25-29,hrpu,43,11.5,15.0,-3.5,False
M,25-29,hrpu,42,11.0,15.0,-4.0,False
M,25-29,hrpu,41,10.5,15.0,-4.5,False
M,25-29,hrpu,40,10.0,15.0,-5.0,False
M,25-29,hrpu,39,9.5,14.7,-5.199999999999999,False
M,25-29,hrpu,38,9.0,14.4,-5.4,False
M,25-29,hrpu,37,8.5,14.1,-5.6,False
M,25-29,hrpu,36,8.0,13.8,-5.800000000000001,False
M,25-29,hrpu,35,7.5,13.5,-6.0,False
M,25-29,hrpu,34,7.0,13.2,-6.199999999999999,False
M,25-29,hrpu,33,6.5,12.9,-6.4,False
M,25-29,hrpu,32,6.0,12.6,-6.6,False
M,25-29,hrpu,31,5.5,12.3,-6.800000000000001,False
M,25-29,hrpu,30,5.0,12.0,-7.0,False
M,25-29,hrpu,29,4.5,11.7,-7.199999999999999,False
M,25-29,hrpu,28,4.0,11.4,-7.4,False
M,25-29,hrpu,27,3.5,11.1,-7.6,False
M,25-29,hrpu,26,3.0,10.8,-7.800000000000001,False
M,25-29,hrpu,25,2.5,10.5,-8.0,True
M,25-29,situps,56,15.0,15.0,0.0,False
M,25-29,situps,55,14.5,14.6,-0.09999999999999964,False
M,25-29,situps,54,14.0,14.3,-0.3000000000000007,False
M,25-29,situps,53,13.5,14.1,-0.5999999999999996,False
M,25-29,situps,52,13.0,13.8,-0.8000000000000007,False
M,25-29,situps,51,12.5,13.5,-1.0,False
M,25-29,situps,50,12.0,13.2,-1.1999999999999993,False
M,25-29,situps,49,11.5,13.1,-1.5999999999999996,False
M,25-29,situps,48,11.0,12.8,-1.8000000000000007,False
M,25-29,situps,47,10.5,12.5,-2.0,False
M,25-29,situps,46,10.0,12.0,-2.0,False
M,25-29,situps,45,9.5,11.3,-1.8000000000000007,False
M,25-29,situps,44,9.0,10.5,-1.5,False
M,25-29,situps,43,8.5,9.8,-1.3000000000000007,False
M,25-29,situps,42,8.0,9.5,-1.5,False
M,25-29,situps,41,7.5,9.0,-1.5,False
M,25-29,situps,40,7.0,6.8,0.20000000000000018,False
M,25-29,situps,39,6.5,4.5,2.0,False
M,25-29,situps,38,6.0,2.3,3.7,False
M,25-29,situps,37,5.5,2.3,3.2,False
M,25-29,situps,36,5.0,2.3,2.7,False
M,25-29,situps,35,4.5,2.3,2.2,False
M,25-29,situps,34,4.0,2.3,1.7000000000000002,False
M,25-29,situps,33,3.5,2.3,1.2000000000000002,False
M,25-29,situps,32,3.0,2.3,0.7000000000000002,False
M,25-29,situps,31,2.5,2.3,0.20000000000000018,True
M,25-29,clrc,58,15.0,15.0,0.0,False
M,25-29,clrc,57,14.5,15.0,-0.5,False
M,25-29,clrc,56,14.0,15.0,-1.0,False
M,25-29,clrc,55,13.5,15.0,-1.5,False
M,25-29,clrc,54,13.0,15.0,-2.0,False
M,25-29,clrc,53,12.5,15.0,-2.5,False
M,25-29,clrc,52,12.0,15.0,-3.0,False
M,25-29,clrc,51,11.5,15.0,-3.5,False
M,25-29,clrc,50,11.0,15.0,-4.0,False
M,25-29,clrc,49,10.5,15.0,-4.5,False
M,25-29,clrc,48,10.0,15.0,-5.0,False
M,25-29,clrc,47,9.5,14.6,-5.1,False
M,25-29,clrc,46,9.0,14.3,-5.300000000000001,False
M,25-29,clrc,45,8.5,14.1,-5.6,False
M,25-29,clrc,44,8.0,13.8,-5.800000000000001,False
M,25-29,clrc,43,7.5,13.5,-6.0,False
M,25-29,clrc,42,7.0,13.2,-6.199999999999999,False
M,25-29,clrc,41,6.5,13.1,-6.6,False
M,25-29,clrc,40,6.0,12.8,-6.800000000000001,False
M,25-29,clrc,39,5.5,12.5,-7.0,False
M,25-29,clrc,38,5.0,12.0,-7.0,False
M,25-29,clrc,37,4.5,11.3,-6.800000000000001,False
M,25-29,clrc,36,4.0,10.5,-6.5,False
M,25-29,clrc,35,3.5,9.8,-6.300000000000001,False
M,25-29,clrc,34,3.0,9.5,-6.5,False
M,25-29,clrc,33,2.5,9.0,-6.5,True
M,25-29,plank,215,15.0,15.0,0.0,False
M,25-29,plank,210,14.5,15.0,-0.5,False
M,25-29,plank,205,14.0,14.8,-0.8000000000000007,False
M,25-29,plank,200,13.5,14.5,-1.0,False
M,25-29,plank,195,13.0,14.2,-1.1999999999999993,False
M,25-29,plank,190,12.5,13.7,-1.1999999999999993,False
M,25-29,plank,185,12.0,13.7,-1.6999999999999993,False
M,25-29,plank,180,11.5,13.5,-2.0,False
M,25-29,plank,175,11.0,12.5,-1.5,False
M,25-29,plank,170,10.5,12.5,-2.0,False
M,25-29,plank,165,10.0,12.5,-2.5,False
M,25-29,plank,160,9.5,12.5,-3.0,False
M,25-29,plank,155,9.0,11.5,-2.5,False
M,25-29,plank,150,8.5,11.5,-3.0,False
M,25-29,plank,145,8.0,11.5,-3.5,False
M,25-29,plank,140,7.5,11.5,-4.0,False
M,25-29,plank,135,7.0,10.5,-3.5,False
M,25-29,plank,130,6.5,10.5,-4.0,False
M,25-29,plank,125,6.0,10.5,-4.5,False
M,25-29,plank,120,5.5,10.5,-5.0,False
M,25-29,plank,115,5.0,9.5,-4.5,False
M,25-29,plank,110,4.5,9.5,-5.0,False
M,25-29,plank,105,4.0,9.5,-5.5,False
M,25-29,plank,100,3.5,9.5,-6.0,False
M,25-29,plank,95,3.0,8.5,-5.5,False
M,25-29,plank,90,2.5,8.5,-6.0,True
M,30-34,run,822,50.0,50.0,0.0,False
M,30-34,run,843,49.5,49.4,0.10000000000000142,False
M,30-34,run,864,49.0,48.8,0.20000000000000284,False
M,30-34,run,885,48.0,48.1,-0.10000000000000142,False
M,30-34,run,906,47.0,46.9,0.10000000000000142,False
M,30-34,run,928,46.0,46.3,-0.29999999999999716,False
M,30-34,run,949,45.0,45.0,0.0,False
M,30-34,run,970,44.0,43.9,0.10000000000000142,False
M,30-34,run,991,43.0,41.8,1.2000000000000028,False
M,30-34,run,1012,42.0,40.7,1.2999999999999972,False
M,30-34,run,1033,41.0,39.6,1.3999999999999986,False
M,30-34,run,1054,40.0,38.6,1.3999999999999986,False
M,30-34,run,1075,39.0,37.5,1.5,False
M,30-34,run,1096,38.5,35.5,3.0,False
M,30-34,run,1117,38.0,34.0,4.0,False
M,30-34,run,1139,37.5,34.0,3.5,False
M,30-34,run,1160,37.0,32.5,4.5,False
M,30-34,run,1181,36.5,31.0,5.5,False
M,30-34,run,1202,36.0,31.0,5.0,False
M,30-34,run,1223,35.5,29.5,6.0,False
M,30-34,run,1244,35.0,29.5,5.5,True
M,30-34,hamr,84,50.0,48.1,1.8999999999999986,False
M,30-34,hamr,81,49.5,47.5,2.0,False
M,30-34,hamr,78,49.0,46.9,2.1000000000000014,False
M,30-34,hamr,75,48.0,46.3,1.7000000000000028,False
M,30-34,hamr,72,47.0,45.6,1.3999999999999986,False
M,30-34,hamr,69,46.0,45.0,1.0,False
M,30-34,hamr,66,45.0,43.9,1.1000000000000014,False
M,30-34,hamr,63,44.0,42.9,1.1000000000000014,False
M,30-34,hamr,61,43.0,41.8,1.2000000000000028,False
M,30-34,hamr,59,42.0,41.8,0.20000000000000284,False
M,30-34,hamr,56,41.0,40.7,0.29999999999999716,False
M,30-34,hamr,54,40.0,39.6,0.3999999999999986,False
M,30-34,hamr,52,39.0,38.6,0.3999999999999986,False
M,30-34,hamr,50,38.5,37.5,1.0,False
M,30-34,hamr,48,38.0,37.5,0.5,False
M,30-34,hamr,46,37.5,35.5,2.0,False
M,30-34,hamr,44,37.0,34.0,3.0,False
M,30-34,hamr,43,36.5,34.0,2.5,False
M,30-34,hamr,41,36.0,32.5,3.5,False
M,30-34,hamr,39,35.5,32.5,3.0,False
M,30-34,hamr,38,35.0,31.0,4.0,True
M,30-34,pushups,60,15.0,15.0,0.0,False
M,30-34,pushups,59,14.5,15.0,-0.5,False
M,30-34,pushups,57,14.0,15.0,-1.0,False
M,30-34,pushups,56,13.5,14.9,-1.4000000000000004,False
M,30-34,pushups,55,13.0,14.7,-1.6999999999999993,False
M,30-34,pushups,53,12.5,14.4,-1.9000000000000004,False
M,30-34,pushups,52,12.0,14.3,-2.3000000000000007,False
M,30-34,pushups,51,11.5,14.1,-2.5999999999999996,False
M,30-34,pushups,49,11.0,13.9,-2.9000000000000004,False
M,30-34,pushups,48,10.5,13.8,-3.3000000000000007,False
M,30-34,pushups,47,10.0,13.7,-3.6999999999999993,False
M,30-34,pushups,45,9.5,13.4,-3.9000000000000004,False
M,30-34,pushups,44,9.0,13.2,-4.199999999999999,False
M,30-34,pushups,43,8.5,13.1,-4.6,False
M,30-34,pushups,41,8.0,12.8,-4.800000000000001,False
M,30-34,pushups,40,7.5,12.5,-5.0,False
M,30-34,pushups,39,7.0,12.0,-5.0,False
M,30-34,pushups,37,6.5,11.6,-5.1,False
M,30-34,pushups,36,6.0,11.3,-5.300000000000001,False
M,30-34,pushups,35,5.5,11.0,-5.5,False
M,30-34,pushups,33,5.0,10.2,-5.199999999999999,False
M,30-34,pushups,32,4.5,10.1,-5.6,False
M,30-34,pushups,31,4.0,9.8,-5.800000000000001,False
M,30-34,pushups,29,3.5,8.3,-4.800000000000001,False
M,30-34,pushups,26,3.0,5.3,-2.3,False
M,30-34,pushups,26,2.5,5.3,-2.8,True
M,30-34,hrpu,48,15.0,15.0,0.0,False
M,30-34,hrpu,47,14.5,15.0,-0.5,False
M,30-34,hrpu,46,14.0,15.0,-1.0,False
M,30-34,hrpu,45,13.5,15.0,-1.5,False
M,30-34,hrpu,44,13.0,15.0,-2.0,False
