g,age,ex,r2_lin,r2_quad,r2_log
M,<25,run,0.9801440338652472,0.9946553559766198,0.9895556105330028
M,<25,hamr,0.9940293053518937,0.9941020347762555,0.9845783435395405
M,<25,pushups,0.9995071507150715,0.9995071507150715,0.9880187608545441
M,<25,hrpu,1.0,1.0,0.9924051125171653
M,<25,situps,1.0,1.0,0.9943576048941889
M,<25,clrc,1.0,1.0,0.9948411966535022
M,<25,plank,1.0,1.0,0.9876373365727094
M,25-29,run,0.9819887973216583,0.9949219769799826,0.9905912891390736
M,25-29,hamr,0.9944256744191083,0.9944300748375808,0.9836756422915587
M,25-29,pushups,0.9993120881238834,0.9993120881238834,0.987432963559204
M,25-29,hrpu,1.0,1.0,0.9915186323237031
M,25-29,situps,1.0,1.0,0.9938014980547965
M,25-29,clrc,1.0,1.0,0.9943576048941889
M,25-29,plank,1.0,1.0,0.9867269623368209
M,30-34,run,0.9819270757435316,0.9948414633341434,0.9909589707959549
M,30-34,hamr,0.9944024662464351,0.9945085356435436,0.9833742372530403
M,30-34,pushups,0.9980871240935139,0.9984609500041566,0.9795697675270427
M,30-34,hrpu,1.0,1.0,0.9904630664720147
M,30-34,situps,1.0,1.0,0.9931573400960624
M,30-34,clrc,1.0,1.0,0.9938014980547965
M,30-34,plank,1.0,1.0,0.9857081203025211
M,35-39,run,0.9819887973216588,0.9949219769799825,0.9911341557009943
M,35-39,hamr,0.991828091447541,0.9920762879608549,0.980454956890045
M,35-39,pushups,0.9991890374372125,0.9991890374372127,0.9847057737015493
M,35-39,hrpu,1.0,1.0,0.9891911603816831
M,35-39,situps,1.0,1.0,0.9924051125171653
M,35-39,clrc,1.0,1.0,0.9931573400960624
M,35-39,plank,1.0,1.0,0.9845621274526445
M,40-44,run,0.9818861951602488,0.994770358616138,0.9913203221341802
M,40-44,hamr,0.9906681558811263,0.991497354165815,0.978983829559961
M,40-44,pushups,0.9989781630511348,0.9990015917750127,0.9836707278557296
M,40-44,hrpu,1.0,1.0,0.9876373365727094
M,40-44,situps,1.0,1.0,0.9915186323237031
M,40-44,clrc,1.0,1.0,0.9924051125171653
M,40-44,plank,1.0,1.0,0.9832659180930097
M,45-49,run,0.982022913751298,0.9949096671509264,0.991317483151218
M,45-49,hamr,0.9914557672710262,0.9918724571595391,0.9782578430269268
M,45-49,pushups,0.9988489455826142,0.998848945582614,0.9837444157256594
M,45-49,hrpu,1.0,1.0,0.9857081203025211
M,45-49,situps,1.0,1.0,0.9904630664720147
M,45-49,clrc,1.0,1.0,0.9915186323237031
M,45-49,plank,1.0,1.0,0.9817906935377727
M,50-54,run,0.9821973777307431,0.9950952353634465,0.9911629264214404
M,50-54,hamr,0.9939346794251881,0.9941153461846035,0.9815347924110971
M,50-54,pushups,0.9989582532623218,0.9989582532623218,0.9819125610441268
M,50-54,hrpu,1.0,1.0,0.9832659180930098
M,50-54,situps,1.0,1.0,0.9891911603816831
M,50-54,clrc,1.0,1.0,0.9904630664720147
M,50-54,plank,1.0,1.0,0.9801000381757017
M,55-59,run,0.9819583363641181,0.9948845900146234,0.9910981790054263
M,55-59,hamr,0.9926111016378798,0.9930889686469354,0.979322956897144
M,55-59,pushups,0.9989582532623218,0.9989582532623218,0.9774341138050548
M,55-59,hrpu,1.0,1.0,0.9801000381757017
M,55-59,situps,1.0,1.0,0.9876373365727094
M,55-59,clrc,1.0,1.0,0.9891911603816831
M,55-59,plank,1.0,1.0,0.9781472357354422
M,60+,run,0.9817985896877662,0.9945101737903769,0.9897614481564108
M,60+,hamr,0.9917835269089058,0.9922479762170812,0.9788621903772979
M,60+,pushups,0.9990123456790122,0.9990123456790123,0.9784387704595785
M,60+,hrpu,1.0,1.0,0.9758713537300728
M,60+,situps,1.0,1.0,0.9857081203025211
M,60+,clrc,1.0,1.0,0.9876373365727094
M,60+,plank,1.0,1.0,0.9758713537300728
F,<25,run,0.9820167993684592,0.9949190388777438,0.9919274449900988
F,<25,hamr,0.9926069461263163,0.9937901404134022,0.9745832395966902
F,<25,pushups,0.9993120881238834,0.9993120881238834,0.9737000865100689
F,<25,hrpu,1.0,1.0,0.9857081203025211
F,<25,situps,1.0,1.0,0.9931573400960624
F,<25,clrc,1.0,1.0,0.9943576048941889
F,<25,plank,1.0,1.0,0.9867269623368209
F,25-29,run,0.9819684558079809,0.9948682570428644,0.9917248826539703
F,25-29,hamr,0.9906655237911157,0.9911196307584149,0.9678237912581688
F,25-29,pushups,0.9991890374372125,0.9991890374372127,0.9728991710380769
F,25-29,hrpu,1.0,1.0,0.9832659180930098
F,25-29,situps,1.0,1.0,0.9915186323237031
F,25-29,clrc,1.0,1.0,0.9938014980547965
F,25-29,plank,1.0,1.0,0.9857081203025211
F,30-34,run,0.9819692029237017,0.9948701127778478,0.9917958123368047
F,30-34,hamr,0.9929288233886931,0.9937419377525811,0.972169237024408
F,30-34,pushups,0.9990602765471874,0.9990602765471875,0.970893874893976
F,30-34,hrpu,1.0,1.0,0.9801000381757017
F,30-34,situps,1.0,1.0,0.9884545290844186
F,30-34,clrc,1.0,1.0,0.9931573400960624
F,30-34,plank,1.0,1.0,0.9845621274526445
F,35-39,run,0.9820331680536438,0.9949275096073357,0.9919261467768521
F,35-39,hamr,0.9920196722348994,0.9937156920248206,0.973027787065074
F,35-39,pushups,0.9991683225213019,0.9991683225213022,0.96797563092604
F,35-39,hrpu,1.0,1.0,0.9758713537300728
F,35-39,situps,1.0,1.0,0.9867269623368209
F,35-39,clrc,1.0,1.0,0.9924051125171653
F,35-39,plank,1.0,1.0,0.9832659180930097
F,40-44,run,0.9820393187471756,0.9949370161166683,0.9917414853098976
F,40-44,hamr,0.9927949457240635,0.9935452068415179,0.9706078223043544
F,40-44,pushups,0.9989659273046889,0.99898323685854,0.970252767136743
F,40-44,hrpu,1.0,1.0,0.9699970699587553
F,40-44,situps,1.0,1.0,0.9845621274526446
F,40-44,clrc,1.0,1.0,0.9915186323237031
F,40-44,plank,1.0,1.0,0.9817906935377727
F,45-49,run,0.9819887973216588,0.9949219769799825,0.9917540334612485
F,45-49,hamr,0.9927949457240635,0.9935452068415179,0.9688168338519473
F,45-49,pushups,0.9989582532623218,0.9989582532623218,0.959986028771832
F,45-49,hrpu,1.0,1.0,0.961380576269023
F,45-49,situps,1.0,1.0,0.973191369978573
F,45-49,clrc,1.0,1.0,0.9904630664720147
F,45-49,plank,1.0,1.0,0.9801000381757017
F,50-54,run,0.9819960759478054,0.9949050045617811,0.9919001728030522
F,50-54,hamr,0.9919210024441231,0.9936664726116657,0.9677115593550247
F,50-54,pushups,0.9989067677102111,0.998906767710211,0.9568302607014143
F,50-54,hrpu,1.0,1.0,0.9476573846553233
F,50-54,situps,1.0,1.0,0.9699970699587553
F,50-54,clrc,1.0,1.0,0.9891911603816831
F,50-54,plank,1.0,1.0,0.9781472357354422
F,55-59,run,0.9820142737929254,0.9949137775944464,0.9918041564488981
F,55-59,hamr,0.9922481104505216,0.9933141397902165,0.9633798235784102
F,55-59,pushups,0.9990123456790122,0.9990123456790123,0.9497074539898434
F,55-59,hrpu,1.0,1.0,0.9223753911660675
F,55-59,situps,1.0,1.0,0.961380576269023
F,55-59,clrc,1.0,1.0,0.9876373365727094
F,55-59,plank,1.0,1.0,0.9758713537300728
F,60+,run,0.9819887973216586,0.9949219769799825,0.9918006266709469
F,60+,hamr,0.9903108653402729,0.9919345692462753,0.9574420864338344
F,60+,pushups,1.0,1.0,0.9223753911660675
F,60+,hrpu,1.0,1.0,0.8543031491799709
F,60+,situps,1.0,1.0,0.9553998612476371
F,60+,clrc,1.0,1.0,0.9857081203025211
F,60+,plank,1.0,1.0,0.9731913699785729
