g,age,ex,chart_floor_threshold,chart_floor_pts,last2_slope_pts_per_unit,lin_slope_last5,lin_intercept_last5,t_at_zero_pts_extrap,dist_floor_to_zero
M,<25,run,1185,35.0,-0.05555555555555555,-0.024570024570024468,64.23095823095811,2614.2000000000057,1429.2000000000057
M,<25,hamr,42,35.0,0.25,0.29109589041096057,22.72602739726021,-78.07058823529346,-120.07058823529346
M,<25,pushups,30,2.5,0.5,0.3289473684210526,-7.289473684210523,22.159999999999993,-7.840000000000007
M,<25,hrpu,27,2.5,0.5,0.4999999999999991,-10.999999999999979,21.999999999999996,-5.0000000000000036
M,<25,situps,33,2.5,0.5,0.5000000000000023,-14.000000000000075,28.000000000000018,-4.999999999999982
M,<25,clrc,35,2.5,0.5,0.500000000000001,-15.000000000000023,29.999999999999986,-5.000000000000014
M,<25,plank,95,2.5,0.1,0.10000000000000017,-7.000000000000019,70.00000000000007,-24.99999999999993
M,25-29,run,1195,35.0,-0.02631578947368421,-0.02631578947368434,66.44736842105277,2524.9999999999927,1329.9999999999927
M,25-29,hamr,42,35.0,0.5,0.3289473684210531,21.2631578947368,-64.63999999999977,-106.63999999999977
M,25-29,pushups,28,2.5,0.5,0.32894736842105377,-6.6315789473684505,20.16000000000002,-7.8399999999999785
M,25-29,hrpu,25,2.5,0.5,0.5000000000000004,-10.000000000000007,19.999999999999996,-5.0000000000000036
M,25-29,situps,31,2.5,0.5,0.4999999999999997,-12.999999999999993,26.0,-5.0
M,25-29,clrc,33,2.5,0.5,0.5000000000000023,-14.000000000000075,28.000000000000018,-4.999999999999982
M,25-29,plank,90,2.5,0.1,0.10000000000000013,-6.500000000000009,65.0,-25.0
M,30-34,run,1244,35.0,-0.023809523809523808,-0.023809523809524093,64.61904761904796,2713.9999999999823,1469.9999999999823
M,30-34,hamr,38,35.0,0.5,0.30769230769230843,23.38461538461536,-75.99999999999973,-113.99999999999973
M,30-34,pushups,26,2.5,,0.27597402597402626,-4.448051948051953,16.11764705882353,-9.882352941176471
M,30-34,hrpu,23,2.5,0.5,0.4999999999999996,-8.999999999999991,17.999999999999996,-5.0000000000000036
M,30-34,situps,29,2.5,0.5,0.49999999999999817,-11.999999999999945,23.99999999999998,-5.000000000000021
M,30-34,clrc,31,2.5,0.5,0.4999999999999997,-12.999999999999993,26.0,-5.0
M,30-34,plank,85,2.5,0.1,0.09999999999999994,-5.999999999999995,59.999999999999986,-25.000000000000014
M,35-39,run,1276,35.0,-0.022727272727272728,-0.022727272727272277,63.99999999999942,2816.00000000003,1540.00000000003
M,35-39,hamr,36,35.0,0.5,0.3289473684210519,23.236842105263182,-70.64000000000024,-106.64000000000024
M,35-39,pushups,23,2.5,0.5,0.3779069767441858,-6.1744186046511595,16.33846153846154,-6.661538461538459
M,35-39,hrpu,21,2.5,0.5,0.4999999999999994,-7.999999999999986,15.999999999999991,-5.000000000000009
